Day,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec,Year
1,60,72,70,64,84,82,99,91,95,72,53,51,2012
2,49,58,55,62,74,75,95,96,84,72,55,57,2012
3,34,52,63,73,81,80,98,96,85,82,50,71,2012
4,35,46,51,76,84,75,99,96,89,81,53,72,2012
5,50,45,46,63,83,71,100,98,90,83,50,63,2012
6,63,53,49,62,72,75,100,93,84,80,48,44,2012
7,68,56,67,65,73,83,105,90,89,56,46,50,2012
8,52,43,74,74,75,85,102,91,91,55,56,54,2012
9,40,47,67,69,75,91,87,95,80,64,58,52,2012
10,54,47,50,68,70,92,90,88,77,71,65,63,2012
11,49,43,63,56,73,90,89,89,78,63,71,63,2012
12,57,33,72,63,78,78,88,88,81,67,72,47,2012
13,51,50,81,67,80,82,90,90,81,60,65,50,2012
14,39,56,81,75,73,83,88,90,83,76,49,52,2012
15,36,55,82,83,79,82,96,86,78,72,51,54,2012
16,42,47,59,89,82,82,96,91,76,65,55,52,2012
17,60,54,75,77,77,77,100,94,75,69,55,55,2012
18,58,59,68,62,76,71,101,86,80,72,53,62,2012
19,41,45,76,72,84,88,95,78,72,76,57,54,2012
20,40,50,72,76,81,98,82,82,75,69,57,53,2012
21,34,50,70,82,75,99,71,86,80,67,58,59,2012
22,32,63,78,57,81,97,82,86,85,73,60,45,2012
23,44,67,83,50,81,91,90,89,71,78,61,47,2012
24,56,57,67,64,83,93,93,88,70,84,50,41,2012
25,49,47,62,71,86,89,89,82,76,71,43,51,2012
26,55,49,60,65,86,82,100,84,84,71,56,45,2012
27,62,64,56,64,87,89,95,88,85,70,45,43,2012
28,55,56,72,56,90,96,97,91,81,62,50,45,2012
29,49,56,70,71,91,104,90,87,73,55,50,44,2012
30,48,-,54,67,83,97,89,89,74,46,54,42,2012
31,66,-,64,-,85,-,90,97,-,55,-,41,2012
