day,Jan,Feb,Mar,Apr,May,June,July,Aug,Sep,Oct,Nov,Dec,Year
1,45,36,46,68,71,91,84,83,93,85,73,48,2013
2,40,33,39,51,68,86,84,88,92,88,72,50,2013
3,38,35,44,54,68,83,87,82,87,86,59,56,2013
4,46,37,46,50,69,78,89,83,85,90,49,57,2013
5,46,42,53,67,64,80,90,82,88,89,59,69,2013
6,52,49,41,59,65,76,92,74,78,91,68,64,2013
7,49,41,52,71,66,73,92,85,82,78,65,45,2013
8,53,44,52,80,72,82,87,87,91,69,54,34,2013
9,54,43,62,86,77,83,86,93,81,63,56,38,2013
10,57,46,63,91,83,80,90,84,92,60,66,40,2013
11,46,54,62,86,80,85,87,86,94,64,58,43,2013
12,51,59,60,75,67,91,76,92,93,69,53,35,2013
13,55,48,52,70,63,90,86,89,82,66,45,45,2013
14,63,50,47,69,67,81,89,78,73,71,55,42,2013
15,42,60,59,63,86,85,96,80,78,74,61,51,2013
16,43,41,61,74,87,87,96,81,77,73,54,39,2013
17,46,34,43,81,83,86,97,81,72,77,65,40,2013
18,40,42,40,78,67,78,95,74,74,69,71,44,2013
19,54,47,60,79,77,78,95,75,78,67,52,61,2013
20,62,41,54,62,82,80,94,89,82,66,49,60,2013
21,47,41,42,56,82,84,93,89,80,68,51,72,2013
22,32,35,50,57,86,86,89,91,76,68,63,72,2013
23,28,46,55,63,83,86,89,79,69,61,59,64,2013
24,29,54,44,79,67,90,86,85,75,54,34,43,2013
25,25,52,39,65,68,94,82,83,78,57,38,33,2013
26,37,46,51,68,74,91,84,90,77,57,49,45,2013
27,38,58,52,73,73,84,86,94,75,63,42,50,2013
28,46,49,50,68,85,89,84,83,73,66,40,57,2013
29,69,M,60,62,90,87,84,87,77,65,44,51,2013
30,72,-,61,62,90,87,85,88,76,64,39,48,2013
31,66,-,56,-,91,-,82,92,-,68,-,49,2013
