Day,Jan,Feb,Mar,Apr,May,June,July,Aug,Sep,Oct,Nov,Dec,Year
1,48,53,46,67,77,77,93,80,95,77,54,70,2014
2,39,64,53,69,72,82,99,84,95,78,53,46,2014
3,33,50,38,69,74,86,92,85,89,73,66,55,2014
4,34,39,33,63,81,90,83,89,91,72,69,47,2014
5,42,44,46,60,66,82,86,92,93,65,68,44,2014
6,49,38,36,63,74,81,89,85,95,77,65,53,2014
7,21,44,46,54,65,86,94,87,84,75,58,50,2014
8,31,37,67,68,87,85,96,84,77,80,54,38,2014
9,41,36,52,69,76,85,89,87,79,75,61,47,2014
10,39,35,61,72,78,88,87,88,83,66,66,51,2014
11,58,35,72,82,81,88,89,85,91,61,71,45,2014
12,54,31,69,77,86,80,90,78,80,65,68,47,2014
13,61,39,36,85,92,83,94,86,73,68,48,49,2014
14,54,52,60,80,67,78,93,85,74,82,45,57,2014
15,50,40,70,72,81,84,89,82,77,80,47,58,2014
16,42,38,48,51,72,90,82,85,80,68,48,50,2014
17,49,38,32,56,69,97,83,88,79,75,52,58,2014
18,40,58,43,57,69,95,86,84,81,74,42,43,2014
19,51,63,44,71,74,87,84,86,78,62,40,43,2014
20,59,56,61,64,77,87,85,89,84,70,56,39,2014
21,41,69,57,70,80,75,86,90,86,73,40,45,2014
22,19,64,73,72,89,82,88,84,76,58,52,40,2014
23,28,64,52,61,81,85,94,76,75,68,57,48,2014
24,24,48,43,66,78,87,83,82,73,71,74,59,2014
25,35,39,36,69,84,89,85,84,69,74,69,61,2014
26,35,38,39,78,88,89,88,89,78,73,51,51,2014
27,54,43,52,70,92,88,87,89,85,71,49,60,2014
28,23,30,68,62,88,87,86,86,82,80,42,58,2014
29,26,M,63,52,62,87,78,84,74,70,49,48,2014
30,34,-,54,67,76,89,80,86,79,63,66,45,2014
31,51,-,67,-,81,-,89,96,-,59,-,39,2014
