Fahrenheit,Date
48,2014-01-01
39,2014-01-02
33,2014-01-03
34,2014-01-04
42,2014-01-05
49,2014-01-06
21,2014-01-07
31,2014-01-08
41,2014-01-09
39,2014-01-10
58,2014-01-11
54,2014-01-12
61,2014-01-13
54,2014-01-14
50,2014-01-15
42,2014-01-16
49,2014-01-17
40,2014-01-18
51,2014-01-19
59,2014-01-20
41,2014-01-21
19,2014-01-22
28,2014-01-23
24,2014-01-24
35,2014-01-25
35,2014-01-26
54,2014-01-27
23,2014-01-28
26,2014-01-29
34,2014-01-30
51,2014-01-31
53,2014-02-01
64,2014-02-02
50,2014-02-03
39,2014-02-04
44,2014-02-05
38,2014-02-06
44,2014-02-07
37,2014-02-08
36,2014-02-09
35,2014-02-10
35,2014-02-11
31,2014-02-12
39,2014-02-13
52,2014-02-14
40,2014-02-15
38,2014-02-16
38,2014-02-17
58,2014-02-18
63,2014-02-19
56,2014-02-20
69,2014-02-21
64,2014-02-22
64,2014-02-23
48,2014-02-24
39,2014-02-25
38,2014-02-26
43,2014-02-27
30,2014-02-28
M,2014-02-29
-,2014-02-30
-,2014-02-31
46,2014-03-01
53,2014-03-02
38,2014-03-03
33,2014-03-04
46,2014-03-05
36,2014-03-06
46,2014-03-07
67,2014-03-08
52,2014-03-09
61,2014-03-10
72,2014-03-11
69,2014-03-12
36,2014-03-13
60,2014-03-14
70,2014-03-15
48,2014-03-16
32,2014-03-17
43,2014-03-18
44,2014-03-19
61,2014-03-20
57,2014-03-21
73,2014-03-22
52,2014-03-23
43,2014-03-24
36,2014-03-25
39,2014-03-26
52,2014-03-27
68,2014-03-28
63,2014-03-29
54,2014-03-30
67,2014-03-31
67,2014-04-01
69,2014-04-02
69,2014-04-03
63,2014-04-04
60,2014-04-05
63,2014-04-06
54,2014-04-07
68,2014-04-08
69,2014-04-09
72,2014-04-10
82,2014-04-11
77,2014-04-12
85,2014-04-13
80,2014-04-14
72,2014-04-15
51,2014-04-16
56,2014-04-17
57,2014-04-18
71,2014-04-19
64,2014-04-20
70,2014-04-21
72,2014-04-22
61,2014-04-23
66,2014-04-24
69,2014-04-25
78,2014-04-26
70,2014-04-27
62,2014-04-28
52,2014-04-29
67,2014-04-30
-,2014-04-31
77,2014-05-01
72,2014-05-02
74,2014-05-03
81,2014-05-04
66,2014-05-05
74,2014-05-06
65,2014-05-07
87,2014-05-08
76,2014-05-09
78,2014-05-10
81,2014-05-11
86,2014-05-12
92,2014-05-13
67,2014-05-14
81,2014-05-15
72,2014-05-16
69,2014-05-17
69,2014-05-18
74,2014-05-19
77,2014-05-20
80,2014-05-21
89,2014-05-22
81,2014-05-23
78,2014-05-24
84,2014-05-25
88,2014-05-26
92,2014-05-27
88,2014-05-28
62,2014-05-29
76,2014-05-30
81,2014-05-31
77,2014-06-01
82,2014-06-02
86,2014-06-03
90,2014-06-04
82,2014-06-05
81,2014-06-06
86,2014-06-07
85,2014-06-08
85,2014-06-09
88,2014-06-10
88,2014-06-11
80,2014-06-12
83,2014-06-13
78,2014-06-14
